Description,Question,Equation,Input Numbers,Output,numbers
after the final bell rang buddy ran to the school bus with his new friends . on his ride home he counted number0 students sitting on the left side of the bus and number1 sitting on the right .,how many students are on the bus ride home ?,+ number0 number1,36 27,63.0,2
mike had number0 books but he sold number1 at a garage sale .,how many books does mike still have ?,- number0 number1,51 45,6.0,2
mrs. sheridan has number0 cats . mr. sheridan gave her number1 more cats .,how many cats does mrs. sheridan have altogether ?,+ number0 number1,17 14,31.0,2
next in their itinerary was the insectarium home to hundreds of insect species . penny who likes butterflies and ants took pictures of the different species . she was able to capture number0 species of butterflies number1 species of ants and number2 species of other insects .,how many species of insects did penny capture ?,+ + number0 number1 number2,60 15 20,95.0,3
kendra learns number0 new spelling words each week . her goal is to learn number1 new words before her number2 birthday . she has already learned number3 new words .,how many more words does kendra need to learn ?,- number1 number3,12 60 8 36,24.0,2
the school cafeteria ordered number0 red apples and number1 green apples for students lunches . but if only number2 students wanted fruit,how many extra did the cafeteria end up with ?,- + number0 number1 number2,25 17 10,32.0,3
there are number0 boys and number1 girls in a preschool daycare .,how many children are there in the daycare ?,+ number0 number1,4 5,9.0,2
while playing a game kaleb had number0 lives . after losing some lives he had number1 left .,how many lives did kaleb lose ?,- number0 number1,98 73,25.0,2
a ballet class wants to divide its number0 members into some large groups at number1 members each and some small groups at number2 members each . in order to make the least number of groups,how many large groups should be made ?,/ number0 number1,90 7 3,12.8571428571429,2
after collecting materials they started making recycled products to sell during the school 's recycling fair . if marcus made number0 pen holders from the milk bottles and annie was able to make number1,how many pen holders were made ?,+ number0 number1,26 37,63.0,2
wendy is a very generous kid . every time her parents buy her some stuff she always gives some of it to her friends . for her birthday this year she received a new set of shoes . she now has a total of number0 pairs of shoes . if she gave away number1 pairs of shoes to her friends,how many pairs of shoes were left to her ?,- number0 number1,33 14,19.0,2
an ice machine had number0 ice cubes in it . if you were filling up number1 ice chests and each chest got the same number of cubes,how many ice cubes would each chest get ?,/ number0 number1,294 7,42.0,2
the exit door leads to a river number0 inches across if the bridge he needs to cross is only number1 inches,how much longer does he need to build if he wants to cross the river using the bridge ?,- number0 number1,487 295,192.0,2
michelle likes to save money every now and then so that she has money to buy the things that she wants . number0 day she decided to count her savings . she opened her piggy bank and sorted out the different coins and dollar bills . if she counted a total of number1 nickels ( a nickel is equivalent to number2 cents ),what is the total value of money does she have in nickels ?,* number1 number2,1 20 5,100.0,2
a box can hold number0 pieces of chalk . if there are number1 pieces of chalk,how many boxes are full to hold all the chalk ?,/ number1 number0,18 3484,193.555555555556,2
molly swam number0 meters on saturday . she swam number1 meters on sunday . the pool is number2 meters long .,how many meters did molly swim in all ?,+ number0 number1,45 28 25,73.0,2
she wants to know how many children will go trick or treating in their village . if there are number0 children on each of the number1 blocks,how many children will go trick or treating in annie 's village ?,* number0 number1,6 9,54.0,2
at the schools book fair sam bought number0 adventure books and number1 mystery books . if number2 of the books were used,how many new books did he buy ?,- + number0 number1 number2,13 17 15,15.0,3
both of them were also asked to take note of the total number of chicken in the farm . ben counted a total of number0 chicken coops and daniel said that there are number1 chickens in number2 coop .,how many chickens do they have in total ?,* number0 number1,9 60 1,540.0,2
mrs. griffin went to the grocery store with $ number0 . she had $ number1 left after shopping .,how much did mrs. griffin spend ?,- number0 number1,70 16,54.0,2
a report said that each day the average youtube viewer watches number0 videos with each video lasting number1 minutes . additionally they also watch number2 minutes of ads . according to the report,how many minutes total do people spend on youtube ?,+ * number0 number1 number2,2 7 3,17.0,3
edward 's dad bought number0 centimeters of string . if he cut the string into number1 equal pieces,what would be the length of each piece ?,/ number0 number1,459 9,51.0,2
kate has number0 pennies . john has number1 pennies .,how many more pennies does john have ?,- number1 number0,223 388,165.0,2
jack received number0 emails in the morning and number1 emails in the afternoon .,how many emails did jack receive in the day ?,+ number0 number1,8 2,10.0,2
kelly had number0 apples .,how many more apples does kelly need to pick to have number1 apples altogether ?,- number1 number0,56 105,49.0,2
a mailman had to give number0 pieces of junk mail and number1 magazines to a house .,how many pieces of mail did he deliver total ?,+ number0 number1,6 5,11.0,2
jane helped her mom prepare fresh lemonade . if each glass needs number0 lemons,how many glasses of fresh lemonade can she make if they have number1 lemons ?,/ number1 number0,2 18,9.0,2
the kids from oakwood elementary school are visiting a bird zoo for their field trip . to get to the bird zoo from the school the kids have to ride some buses . if there are number0 buses and each bus has number1 adult supervisors to guide the children,how many supervisors are there in total ?,* number0 number1,7 3,21.0,2
divide number0 balloons into number1 equal groups .,how many balloons are there in each group ?,/ number0 number1,39 7,5.57142857142857,2
peter wants to split a collection of pencils into groups of number0 peter has number1 pencils .,how many groups will be created ?,/ number1 number0,11 154,14.0,2
luke was helping his mom wash clothes . they washed number0 loads with number1 towels in each load .,how many towels did they wash total ?,* number0 number1,6 7,42.0,2
jason had number0 peaches and number1 pears left at his roadside fruit stand . he went to the orchard and picked more peaches to stock up the stand . there are now number2 peaches at the stand,how many did he pick ?,- number2 number0,27 17 90,63.0,2
a restaurant has number0 pieces of cutlery . number1 are forks number2 are knives and the rest are spoons .,how many spoons are there ?,- - number0 number1 number2,94 38 27,29.0,3
if the all the participants found a total number0 eggs from the club house number1 eggs from the park and number2 eggs from the town hall,how many easter eggs were found that day ?,+ + number0 number1 number2,40 25 15,80.0,3
sofia president of the school student organization held a meeting to talk about the food being served at the school cafeteria . the first order of business is to discuss whether the students like the food being served at the school . if number0 students said that they like the food and number1 students said they did n't,how many students participated in the discussion ?,+ number0 number1,383 431,814.0,2
megan had number0 markers . robert gave her number1 more markers .,how many markers does megan have altogether ?,+ number0 number1,217 109,326.0,2
jasmine also bought some chips for her friends in which she got for a discount of $ number0 . if the chips originally cost $ number1,how much did she actually spend on chips ?,- number1 number0,17.00 35.00,18.0,2
still a little behind robyn asked her mother to drive them around town on wednesday to cover more houses . that day robyn sold number0 packs of cookies while lucy sold number1 how,many packs were they able to sell that day ?,+ number0 number1,55 43,98.0,2
at the fair dave rode number0 rides the first day he went and number1 rides the second day .,how many times did he ride total ?,+ number0 number1,4 3,7.0,2
johnny practiced for the track team and ran number0 laps per minute .,how many minutes did it take johnny to run number1 laps ?,/ number1 number0,3 10,3.333,2
mrs. sheridan has number0 fish . her sister gave her number1 more fish .,how many fish does she have now ?,+ number0 number1,22 47,69.0,2
before reaching the mountains stanley stopped over a car shop to buy new tires for the road . if he bought number0 tires each for $ number1,how much did he spend for tires in total ?,* number0 number1,4 60.00,240.0,2
white t-shirts can be purchased in packages of number0 if mom buys number1 packages,how many white t-shirts will she have ?,* number0 number1,6 71,426.0,2
in number0 week an airplane pilot flew number1 miles on tuesday and number2 miles on thursday . if the pilot flies the same number of miles number3 weeks in a row,how many miles does he fly in all ?,* + number1 number2 number3,1 1134 1475 3,7827.0,3
will was picking up sticks from his yard . he picked up number0 but there were still number1 left .,how many sticks were originally in the yard ?,+ number0 number1,38 61,99.0,2
at the fair megan had $ number0 to spend . she spent $ number1 on rides .,how much money does she have left ?,- number0 number1,17 6,11.0,2
at a bus stop number0 people got off the bus . now there were number1 people on the bus .,what 's the difference between the number of people getting off the bus and still on the bus ?,- number1 number0,5 90,85.0,2
a pet store had number0 gerbils . if they sold number1 of them,what 's the difference between the number of gerbils that they had before selling and they sold ?,- number0 number1,68 14,54.0,2
billy was playing basketball with his friend . billy scored number0 points and his friend scored number1 points .,what 's the difference between billy 's points and his friend 's points ?,- number1 number0,7 9,2.0,2
frank was reading through his favorite book . the book had number0 pages and it took frank number1 days to finish the book .,how many pages did he read per day ?,/ number0 number1,672 2,336.0,2
haley 's mom was buying extra school supplies for haley and her sister . if she bought number0 reams of paper for haley and number1 reams for her sister,how many did she buy total ?,+ number0 number1,2 3,5.0,2
at the carnival number0 friends bought number1 tickets total . if they each bought the same amount,how many tickets did each person buy ?,/ number1 number0,6 234,39.0,2
a pet store had number0 dogs . on sunday they got number1 more . on monday they got number2 more .,how many dogs does the pet store have now ?,+ + number0 number1 number2,2 5 3,10.0,3
after paying number0 dollars for the pie sandy has number1 dollars left .,how much money did she have before buying the pie ?,+ number0 number1,6 57,63.0,2
katie had number0 ds games and her friend had number1 games .,how many do they have total ?,+ number0 number1,72 23,95.0,2
there were number0 people on the bus . at the next stop number1 more people got on the bus .,how many people are there on the bus now ?,+ number0 number1,10 3,13.0,2
cindy and dan have the same number of stickers . cindy used number0 of her stickers . dan bought number1 more stickers .,how many more stickers did dan have than cindy then ?,+ number0 number1,15 18,33.0,2
the farmer had number0 apples . he gave number1 apples to his neighbor .,how many apples does he have now ?,- number0 number1,127 88,39.0,2
chloe was making baggies of cookies with number0 cookies in each bag . if she had number1 chocolate chip cookies and number2 oatmeal cookies,how many baggies could she make ?,/ + number2 number1 number0,7 34 29,9.0,3
simon mark kevin and carl love collecting stamps . they meet up every month to compare and share their collections with each other . during the previous month kevin was able to collect number0 stamps while simon was only able to collect number1 how,many more stamps does kevin have more than simon ?,- number0 number1,45 27,18.0,2
pinky made number0 miniature pumpkin pies for everyone and helen made number1 how,many miniature pies do they have in total ?,+ number0 number1,147 56,203.0,2
while building the house charlie noticed that they were running out of nails so he told his father he 's going to buy some . if they still have number0 nails left and charlie bought number1 boxes of nails the big number2 containing number3 nails and the small number4 containing number5,how many nails will they have ?,+ + number0 number5 number3,9 2 1 55 1 31,95.0,3
when maria got to the fair she had $ number0 . when she left she had $ number1 .,what 's the difference between the number of dollars when maria got and left the fair ?,- number0 number1,87 16,71.0,2
a transport company bought number0 tons of oil . a large barrel can hold number1 tons of oil and a small barrel can hold number2 tons of oil . in order to use the least number of barrels and have every barrel fully occupied,how many large barrels should be used ?,/ number0 number1,95 6 5,15.8333333333333,2
a clown had number0 balloons . he gave number1 away at a party .,how many balloons does he still have ?,- number0 number1,16 4,12.0,2
the tallest giraffe at the zoo is number0 inches tall . there are number1 adult giraffes at the zoo . the shortest giraffe is number2 inches .,how much taller is the bigger giraffe ?,- number0 number2,96 14 68,28.0,2
the razorback t-shirt shop sells their t-shirts for $ number0 . last week they sold number1 t-shirts .,how much money did they make last week ?,* number0 number1,16 45,720.0,2
a pet store had number0 siamese cats and number1 house cats . during a sale they sold number2 cats .,how many cats do they have left ?,- + number0 number1 number2,13 5 10,8.0,3
larry 's lawn care charges number0 bucks to trim a hedge . if henry has number1 hedges,how much money would he spend ?,* number0 number1,9 3,27.0,2
number0 dogs are barking . number1 more dogs start to bark .,how many dogs are barking ?,+ number0 number1,30 10,40.0,2
because of the decision sofia asked the students to suggest specific types of food . if number0 students suggested adding mashed potatoes while number1 suggested adding bacon to the menu,how many students participated in the suggestion of new food items ?,+ number0 number1,279 234,513.0,2
wendy bought number0 inches of ribbon . she used number1 inches to wrap presents .,how much ribbon did wendy have left ?,- number0 number1,84 46,38.0,2
jovana filled her bucket with number0 pounds of shells . if she adds number1 more pounds of shell to fill her bucket,how many pounds does she have ?,+ number0 number1,5 12,17.0,2
at a comic convention janet wanted to buy number0 comics but each one costs number1 dollars plus it costs number2 to even get in .,how much money should she take with her so she can get in and buy what she wants ?,+ * number0 number1 number2,8 4 2,34.0,3
dave was organizing his baseball cards in a binder with number0 on each page . if he had number1 new cards and number2 old cards to put in the binder,how many pages would he use ?,/ + number1 number2 number0,8 3 13,2.0,3
the following month the number0 friends met again to share their collections . carl having the most number of stamps among all of them decided to give away some of his collections . if he has number1 stamps during that month and he gave away number2,how many stamps were left with him ?,- number1 number2,4 96 48,48.0,2
roger is at the library helping put away books . there are number0 book to put away total but a librarian takes number1 of them and leaves roger with the rest . if he can fit number2 books on a shelf,how many shelves will he need ?,/ - number0 number1 number2,54 19 5,7.0,3
you have number0 balloons and your friend has number1 balloons .,what 's the difference of the number of your balloons and your friend 's balloons ?,- number0 number1,7 5,2.0,2
belle collected number0 animal stickers . carolyn collected number1 fewer stickers than belle .,how many stickers did carolyn collect ?,- number0 number1,97 18,79.0,2
the sanctuary also includes several swamp areas where most of the reptiles usually reside . if there are number0 swamps each having number1 different reptiles,how many reptiles are living in the swamp areas ?,* number0 number1,4 356,1424.0,2
there are number0 students and number1 apples . each student has number2 skittles . if the apples are divided equally among the students,how many does each student get ?,/ number1 number0,43 1720 9,40.0,2
jessie weighted number0 kilograms . after she started to go jogging everyday now she weights number1 kilograms .,how much weight did she lose in the past ?,- number0 number1,74 67,7.0,2
tyler had number0 dogs . each dog had number1 puppies .,how many puppies does tyler now have ?,* number0 number1,15 5,75.0,2
jane can arrange number0 vases of flowers in a day . if there are number1 vases of flowers to be arranged,how many days are needed for her to finish all the flower arrangements ?,/ number1 number0,16 248,15.5,2
number0 campers went rowing in the morning . number1 campers went rowing in the afternoon .,how many campers went rowing in all ?,+ number0 number1,35 27,62.0,2
rob also matched the london eye which stands at number0 ft and las vegas ' high roller standing at number1 ft. being the tallest ferris wheel in the world,how much taller is high roller than the london eye ?,- number1 number0,443 550,107.0,2
a vase can hold number0 flowers . if you had number1 carnations and number2 roses,how many vases would you need to hold the flowers ?,/ + number1 number2 number0,9 4 23,3.0,3
charlie has number0 more snowballs than lucy . she has number1 snowballs .,how many does charlie have ?,+ number0 number1,31 19,50.0,2
the grasshopper and the frog had a jumping contest . the grasshopper jumped number0 inches . the frog jumped number1 inches farther than the grasshopper .,how far did the frog jump ?,+ number0 number1,25 15,40.0,2
lastly he went to a music store and bought a new set of speakers for his dad 's entertainment system . if the initial price of the speakers is $ number0 he got it for $ number1,how much money was he able to save from having a discount ?,- number0 number1,475.00 199.00,276.0,2
before lunch a waitress had already earned $ number0 in tips . after lunch she had number1 customers and each customer gave her a number2 dollar tip .,how much money did she earn total ?,+ * number1 number2 number0,5 7 2,19.0,3
a pet store had number0 puppies . in number1 day they sold number2 of them and put the rest into cages with number3 in each cage .,how many cages did they use ?,/ - number0 number2 number3,45 1 39 2,3.0,3
in a game you start with number0 lives . if you got number1 extra lives in the first level and number2 more in the second,how many lives would you have ?,+ + number0 number1 number2,2 6 11,19.0,3
at the first day back in school her parents bought her different colored pens . if her parents bought her number0 pens and she gave number1 of those to her friends,how many pens were left for her to use ?,- number0 number1,56 22,34.0,2
number0 children are taking a bus to the zoo . they sit number1 children in every seat .,how many seats will the children need in all ?,/ number0 number1,58 2,29.0,2
sam has number0 power ranger stickers . he bundles them up in number1 boxes . if there are number2 power ranger stickers in the first box,how many more power ranger stickers are there in the second box than the first box ?,- number0 * number2 number1,58 2 23,12.0,3
on friday number0 people visited the zoo . number1 times as many people visited on saturday than on friday .,how many people visited the zoo on saturday ?,* number0 number1,1250 3,3750.0,2
the next act involved several jugglers . if each juggler is juggling number0 balls at a time,how many balls are needed if there are number1 jugglers putting a show at the same time ?,* number0 number1,6 378,2268.0,2
a sandbox is number0 centimeters long and number1 centimeters wide .,how many square centimeters of ground does the sandbox cover ?,* number0 number1,312 146,45552.0,2
at the store beef jerky was $ number0 for number1 pounds . if you bought number2 pounds,how much would it cost ?,* / number0 number1 number2,34.23 3 7,79.87,3
at the arcade amy had number0 tickets she saved from the last time she went . this time she played a game number1 times and earned number2 tickets each time she played .,how many tickets does she have now ?,+ * number1 number2 number0,6 7 5,41.0,3
there were number0 trees in a park . number1 of them died and another number2 of them were cut .,how many trees were still left ?,- - number0 number1 number2,86 15 23,48.0,3
number0 students are going hiking . each school- bus can take number1 students .,how many school-buses are needed ?,/ number0 number1,86 9,9.55555555555556,2
gwen was organizing her book case making sure each of the shelves had exactly number0 books on it . if she had number1 shelves of mystery books and number2 shelves of picture books,how many books did she have total ?,* + number1 number2 number0,4 5 3,32.0,3
a store has number0 shirts . after selling some there were number1 left .,what 's the difference between of the number of shirts before selling and after selling ?,- number0 number1,49 28,21.0,2
gavin has number0 shirts . number1 are blue the rest are green .,how many green shirts does gavin have ?,- number0 number1,23 6,17.0,2
our class got number0 books from the library . then we got number1 more books from the library .,how many books did our class get from the library ?,+ number0 number1,54 23,77.0,2
there were number0 boys and number1 girls on the playground at recess .,how many children were on the playground at recess ?,+ number0 number1,27 35,62.0,2
george had number0 pieces of candy . if he split the candy into number1 bags with the same amount of candy in each bag,how many pieces would each bag have in it ?,/ number0 number1,648 8,81.0,2
warren has number0 guests coming to his party . each table will hold number1 guests .,how many tables will he need ?,/ number0 number1,252 4,63.0,2
for halloween tom received number0 pieces of candy . if he put them into piles with number1 in each pile,how many piles could he make ?,/ number0 number1,20 5,4.0,2
i have number0 cents to buy candy . if each gumdrop costs number1 cents,how many gumdrops can i buy ?,/ number0 number1,80 4,20.0,2
jane has number0 old brown sheets of drawing paper and number1 old yellow sheets of drawing paper .,how many pieces of drawing paper does she have ?,+ number0 number1,28 27,55.0,2
carey and pat are moving chairs to the gym . they agreed to move number0 chairs . carey moved number1 chairs . pat has moved number2 chairs .,how many more chairs do they have left to move ?,- - number0 number1 number2,74 28 29,17.0,3
for halloween frank got number0 pounds of candy and gwen got number1 pounds of candy .,what is the combined weight they received ?,+ number0 number1,10 7,17.0,2
a clown had number0 balloons . after a party he had number1 left .,how many balloons did he use at the party ?,- number0 number1,82 16,66.0,2
maria had number0 pieces of candy . she ate number1 pieces .,how many pieces of candy does maria have now ?,- number0 number1,67 64,3.0,2
number0 children were riding on the bus . at the bus stop some more children got on the bus . then there were number1 children altogether on the bus .,how many children got on the bus at the bus stop ?,- number1 number0,18 25,7.0,2
jenny was told to clean up her room in number0 days or she could not go to her best friend 's birthday party . it is number1 days left but jenny has cleaned up her room .,how many days did she spend ?,- number0 number1,14 3,11.0,2
gwen had number0 fish and her sister had number1 fish .,how many fish did they have total ?,+ number0 number1,10 5,15.0,2
julia played tag with number0 kids on monday . she played tag with number1 kids on tuesday .,how many kids did she play with altogether ?,+ number0 number1,12 7,19.0,2
at the baseball stadium the price for popcorn is $ number0 for number1 bags . if you wanted to buy number2 bags of popcorn,how much would it cost ?,* / number0 number1 number2,14.70 5 4,11.76,3
dean knew that they are going to stay at the beach for a while so he brought number0 sets of clothes for every week of their stay . if dean is staying for number1 weeks there,how many sets of clothes did he bring ?,* number0 number1,30 4,120.0,2
zoe had number0 bottles of water in her fridge . if she drank number1 of them and then bought number2 more,how many bottles would she have ?,+ - number0 number1 number2,42 25 30,47.0,3
amanda and her friends decided to go to an amusement park for the weekend . the nearest amusement park from their city is super fun-tastic land . if they cover a distance of number0 miles for every hour of travel and they travelled for number1 hours,how far is sfl from the city ?,* number0 number1,27 3,81.0,2
randy has number0 blocks . he uses number1 blocks to build a tower .,how many blocks are left ?,- number0 number1,78 19,59.0,2
for halloween faye scored number0 pieces of candy . she ate number1 pieces the first night and then her sister gave her number2 more pieces .,how many pieces of candy does faye have now ?,+ - number0 number1 number2,47 25 40,62.0,3
it takes mike number0 minutes to walk to school . if he rides a bicycle to school it would save him number1 minutes .,how much time did mike save ?,- number0 number1,98 64,34.0,2
at the fair amy started with number0 tickets and then bought number1 more .,how many tickets did amy have total ?,+ number0 number1,33 21,54.0,2
lex read another book with number0 pages . if he read the same number of pages for number1 days,how many pages did he read every day ?,/ number0 number1,240 12,20.0,2
even the chipmunks are trying to get away to find other warmer places to stay . if number0 chipmunk families were left from the original number1 families,how many chipmunk families went away ?,- number1 number0,21 86,65.0,2
at the fair the 'twirly tea cups ' ride can hold number0 people per teacup . if the ride has number1 tea cups,how many total people can ride at a time ?,* number0 number1,9 7,63.0,2
an international group had number0 chinese americans and australians . number1 of them were americans and number2 of them were australians .,how many chinese were there ?,- - number0 number1 number2,49 16 11,22.0,3
the smart mart sells educational toys . they sold number0 science kits last week . the sold number1 fewer puzzles than science kits .,how many puzzles did the smart mart sell ?,- number0 number1,45 9,36.0,2
feeling good about what he did mr. anderson decided to continue giving to others . he went around the city and gave clothes to homeless people . if he gave number0 shirts and number1 trousers,how many pieces of clothing did he gave out in total ?,+ number0 number1,589 345,934.0,2
a furniture store had number0 chairs . after selling some there was number1 left .,what 's the difference between the number of chairs before selling and the left ?,- number0 number1,15 3,12.0,2
after going down the falls he then went to rock mist mountains . if the mountain is number0 times farther from the city than sky falls and sky falls is number1 miles from the city,how far is the rocky mist from the city ?,* number0 number1,50 8,400.0,2
ed had number0 more marbles than doug . doug lost number1 of his marbles at the playground .,how many more marble did ed have than doug then ?,+ number0 number1,22 8,30.0,2
haley 's favorite band was holding a concert where tickets were number0 dollars each . haley bought number1 tickets for herself and her friends and number2 extra tickets in case anyone else wanted to go .,how much did she spend ?,* + number1 number2 number0,4 3 5,32.0,3
daniel had some noodles . he gave number0 noodles to william . now daniel only has number1 noodles .,how many noodles did daniel have to begin with ?,+ number1 number0,12 54,66.0,2
gary had number0 dollars . he spent number1 dollars on a pet snake .,how many dollars did gary have left ?,- number0 number1,73 55,18.0,2
there are number0 students in a class . if the teacher put them into groups with number1 students in each group,how many groups would she have ?,/ number0 number1,30 5,6.0,2
a chess club has number0 members . if number1 new members are enrolled,how many total members are there in the chess club ?,+ number0 number1,3 4,7.0,2
a store has number0 shirts . after selling some there were number1 left .,how many did they sell ?,- number0 number1,49 28,21.0,2
tiffany was collecting cans for recycling . on monday she had number0 bags of cans . the next day she found number1 more bags worth .,how many bags did she have totaled ?,+ number0 number1,4 8,12.0,2
annie 's mother has also been asked to be a part of the surprise . she was tasked to be in charge of drinks . she made number0 glasses of orange juice number1 glasses of grape juice and number2 glasses of apple juice .,how many glasses of juice would there be ?,+ + number0 number1 number2,25 15 5,45.0,3
wendy 's brother had number0 pieces of candy . wendy had number1 boxes with number2 pieces each .,how many pieces did they have total ?,+ * number1 number2 number0,6 2 3,12.0,3
aside from drawing animals shiela is fond of painting flowers . if she has number0 paintings of flowers,how many paintings can she give to each of her number1 grandmothers ?,/ number0 number1,18 2,9.0,2
the school cafeteria had number0 apples . if they used number1 to make lunch for the students and then bought number2 more,how many apples would they have ?,+ - number0 number1 number2,17 2 23,38.0,3
zach scored number0 points in the football game . ben scored number1 points .,how many more points did zach score ?,- number0 number1,42 21,21.0,2
luke was played number0 rounds of a trivia game and scored number1 points . if he gained the same number of points each round,how many points did he score per round ?,/ number1 number0,5 300,60.0,2
mrs. snyder made number0 heart cookies . she made number1 red cookies and the rest are pink .,how many pink cookies did she make ?,- number0 number1,86 36,50.0,2
mr. lee gave out first place ribbons after each event . he had number0 ribbons at the start . he gave away number1 ribbons in the morning . he gave out number2 ribbons in the afternoon .,how many ribbons did mr. lee have left ?,- - number0 number1 number2,38 14 16,8.0,3
paige sent out number0 birthday party invitations . if number1 people showed up,how many people did n't come ?,- number0 number1,15 9,6.0,2
denver the dog is a famous architect in the city of animapolis . together with his engineer friend wally the wolf they decided to build the tallest building ever the animus tower . to make sure the framework of the tower is strongly built they hired the best builders in town . if they hired number0 beavers and number1 spiders,how many workers in total did they hire to make the framework ?,+ number0 number1,318 544,862.0,2
shelby had number0 pieces of candy . she gave number1 pieces each to number2 friends .,how many pieces of candy does shelby have left ?,- number0 * number1 number2,92 4 9,56.0,3
susie and her sister gathered all number0 of their teddy bears and placed them on the shelves in their bedroom . if every shelf can carry a maximum of number1 teddy bears,how many shelves will be filled ?,/ number0 number1,98 7,14.0,2
penny 's class is going to animaland the largest zoo on earth for their science field trip . the zoo has a variety of wild animals in captivity . their first destination was the aviary . the aviary has number0 species of eagles on show that day . they have number1 bald eagles number2 harpy eagles and number3 crowned eagles .,how many eagles are on display that day ?,+ + number1 number2 number3,3 20 15 30,65.0,3
at a store there are number0 computers . number1 are sold . number2 are shipped away to a company .,how many computers are left ?,- - number0 number1 number2,92 31 20,41.0,3
sam received number0 dollars for his birthday . he went to a sporting goods store and bought a baseball glove baseball and bat . he had number1 dollars left over,how much did he spent on the baseball gear ?,- number0 number1,87 23,64.0,2
after the framework was finished they asked number0 monkeys and number1 termites to finish the rest of the building .,how many workers finished the rest of the construction ?,+ number0 number1,239 622,861.0,2
cody cooked number0 dumplings . he ate number1 .,how many dumplings does cody have now ?,- number0 number1,14 7,7.0,2
frank had $ number0 . after buying some new toys he had $ number1 left .,how much did he spend on toys ?,- number0 number1,16 8,8.0,2
